20
Circle -79,-132,202,202 248,255,0
Circle -174,-1,190,190 248,255,0
Circle 19,45,172,172 248,255,0
Circle -275,-163,168,168 248,255,0
Circle -100,-183,58,58 248,255,0
Circle -296,10,86,86 248,255,0
Circle 130,-67,94,94 248,255,0
Circle -247,-141,116,116 248,132,0
Circle -43,-93,128,128 248,132,0
Circle -153,33,134,134 248,132,0
Circle 64,89,84,84 248,132,0
Circle 156,-34,44,44 248,132,0
Circle -272,41,36,36 248,132,0
Circle -219,-111,64,64 248,71,0
Circle -16,-65,76,76 248,71,0
Circle -121,68,62,62 248,71,0
Circle 87,110,38,38 248,71,0
Circle 8,-44,32,32 248,0,0
Circle -198,-91,24,24 248,0,0
Circle -106,86,24,24 248,0,0
