Object_0= x:745; y:32; width:40; height:40; imagePath:;
Object_1= x:1110; y:104; width:40; height:40; imagePath:;
Object_2= x:1109; y:104; width:40; height:40; imagePath:;
Object_3= x:1109; y:105; width:40; height:40; imagePath:;
Object_4= x:1108; y:107; width:40; height:40; imagePath:;
Object_5= x:1108; y:110; width:40; height:40; imagePath:;
Object_6= x:1108; y:113; width:40; height:40; imagePath:;
Object_7= x:1108; y:129; width:40; height:40; imagePath:;
Object_8= x:1107; y:148; width:40; height:40; imagePath:;
Object_9= x:1106; y:166; width:40; height:40; imagePath:;
Object_10= x:1105; y:173; width:40; height:40; imagePath:;
Object_11= x:1105; y:187; width:40; height:40; imagePath:;
Object_12= x:1104; y:197; width:40; height:40; imagePath:;
Object_13= x:1103; y:208; width:40; height:40; imagePath:;
Object_14= x:1103; y:218; width:40; height:40; imagePath:;
Object_15= x:1103; y:221; width:40; height:40; imagePath:;
Object_16= x:1103; y:224; width:40; height:40; imagePath:;
Object_17= x:1103; y:227; width:40; height:40; imagePath:;
Object_18= x:1103; y:229; width:40; height:40; imagePath:;
Object_19= x:1103; y:230; width:40; height:40; imagePath:;
Object_20= x:1103; y:231; width:40; height:40; imagePath:;
Object_21= x:1103; y:232; width:40; height:40; imagePath:;
Object_22= x:1103; y:233; width:40; height:40; imagePath:;
Object_23= x:1102; y:234; width:40; height:40; imagePath:;
Object_24= x:1102; y:235; width:40; height:40; imagePath:;
Object_25= x:1102; y:236; width:40; height:40; imagePath:;
Object_26= x:1102; y:237; width:40; height:40; imagePath:;
Object_27= x:1101; y:238; width:40; height:40; imagePath:;
Object_28= x:1101; y:239; width:40; height:40; imagePath:;
Object_29= x:1101; y:240; width:40; height:40; imagePath:;
Object_30= x:1101; y:241; width:40; height:40; imagePath:;
Object_31= x:1101; y:242; width:40; height:40; imagePath:;
Object_32= x:1101; y:243; width:40; height:40; imagePath:;
Object_33= x:1101; y:244; width:40; height:40; imagePath:;
Object_34= x:1101; y:245; width:40; height:40; imagePath:;
Object_35= x:1101; y:246; width:40; height:40; imagePath:;
Object_36= x:1100; y:247; width:40; height:40; imagePath:;
Object_37= x:1110; y:97; width:40; height:40; imagePath:;
Object_38= x:1109; y:97; width:40; height:40; imagePath:;
Object_39= x:1108; y:97; width:40; height:40; imagePath:;
Object_40= x:1107; y:97; width:40; height:40; imagePath:;
Object_41= x:1106; y:97; width:40; height:40; imagePath:;
Object_42= x:1104; y:97; width:40; height:40; imagePath:;
Object_43= x:1099; y:101; width:40; height:40; imagePath:;
Object_44= x:1097; y:101; width:40; height:40; imagePath:;
Object_45= x:1094; y:103; width:40; height:40; imagePath:;
Object_46= x:1091; y:105; width:40; height:40; imagePath:;
Object_47= x:1084; y:109; width:40; height:40; imagePath:;
Object_48= x:1082; y:110; width:40; height:40; imagePath:;
Object_49= x:1077; y:112; width:40; height:40; imagePath:;
Object_50= x:1070; y:115; width:40; height:40; imagePath:;
Object_51= x:1061; y:118; width:40; height:40; imagePath:;
Object_52= x:1043; y:122; width:40; height:40; imagePath:;
Object_53= x:1033; y:126; width:40; height:40; imagePath:;
Object_54= x:1023; y:129; width:40; height:40; imagePath:;
Object_55= x:1014; y:132; width:40; height:40; imagePath:;
Object_56= x:988; y:139; width:40; height:40; imagePath:;
Object_57= x:976; y:142; width:40; height:40; imagePath:;
Object_58= x:965; y:145; width:40; height:40; imagePath:;
Object_59= x:952; y:149; width:40; height:40; imagePath:;
Object_60= x:945; y:152; width:40; height:40; imagePath:;
Object_61= x:942; y:152; width:40; height:40; imagePath:;
Object_62= x:941; y:153; width:40; height:40; imagePath:;
Object_63= x:940; y:154; width:40; height:40; imagePath:;
Object_64= x:936; y:155; width:40; height:40; imagePath:;
Object_65= x:935; y:156; width:40; height:40; imagePath:;
Object_66= x:933; y:156; width:40; height:40; imagePath:;
Object_67= x:932; y:156; width:40; height:40; imagePath:;
Object_68= x:931; y:156; width:40; height:40; imagePath:;
Object_69= x:931; y:157; width:40; height:40; imagePath:;
Object_70= x:930; y:157; width:40; height:40; imagePath:;
