Object_0= x:388; y:344; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_1= x:406; y:341; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_2= x:406; y:343; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_3= x:411; y:450; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_4= x:410; y:455; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_5= x:410; y:457; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_6= x:418; y:350; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_7= x:419; y:350; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_8= x:451; y:350; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_9= x:463; y:348; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_10= x:466; y:347; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_11= x:387; y:370; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_12= x:387; y:372; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_13= x:389; y:392; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_14= x:398; y:409; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_15= x:402; y:416; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_16= x:402; y:418; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_17= x:402; y:420; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_18= x:404; y:426; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_19= x:404; y:428; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_20= x:433; y:420; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_21= x:435; y:420; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_22= x:511; y:422; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_23= x:512; y:422; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_24= x:400; y:480; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_25= x:404; y:496; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_26= x:441; y:490; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_27= x:442; y:490; width:40; height:40; imagePath:icons8_Instagram_50px.png;
