Object_0=x:93; y:105; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_1=x:93; y:107; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_2=x:95; y:117; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_3=x:99; y:140; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_4=x:100; y:166; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_5=x:100; y:176; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_6=x:99; y:178; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_7=x:99; y:181; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_8=x:99; y:182; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_9=x:98; y:186; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_10=x:98; y:189; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_11=x:97; y:192; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_12=x:97; y:195; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_13=x:97; y:197; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_14=x:97; y:200; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_15=x:96; y:205; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_16=x:96; y:208; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_17=x:96; y:212; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_18=x:96; y:214; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_19=x:96; y:215; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_20=x:96; y:216; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_21=x:96; y:217; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_22=x:96; y:218; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_23=x:96; y:219; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_24=x:106; y:224; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_25=x:107; y:224; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_26=x:226; y:214; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_27=x:241; y:214; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_28=x:246; y:214; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_29=x:247; y:214; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_30=x:368; y:94; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_31=x:367; y:94; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_32=x:362; y:97; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_33=x:360; y:98; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_34=x:359; y:99; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_35=x:356; y:104; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_36=x:343; y:150; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_37=x:339; y:185; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_38=x:339; y:191; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_39=x:343; y:201; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_40=x:349; y:215; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_41=x:354; y:223; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_42=x:357; y:228; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_43=x:359; y:230; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_44=x:360; y:232; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_45=x:363; y:234; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_46=x:367; y:235; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_47=x:370; y:236; width:40; height:40; imagePath:icons8_Coins_48px.png;
