16
Polygon -199,100;1,0;200,100 0,0,0
Polygon -51,50;0,-151;49,49 0,0,0
Polygon -128,75;-99,1;-74,75 0,0,0
Polygon 74,73;101,1;125,75 0,0,0
Circle -51,5,104,104 255,37,0
Circle -36,21,72,72 207,196,0
Polygon -1,-93;-27,-2;-1,-14;25,-2 0,159,121
Circle -107,-7,18,18 89,255,0
Circle 92,-7,18,18 89,255,0
Ellipse -117,65,35,56 184,0,207
Ellipse 81,62,37,55 184,0,207
Polygon -150,87;0,29;150,87;65,86;1,51;-62,83 125,255,0
Polygon -72,46;-48,92;0,69;50,90;70,45;0,24 255,84,0
Rectangle -50,44,100,22 157,0,0
Square -110,90,20,20 157,0,0
Square 90,91,20,20 157,0,0
